"","最長連續未開間距","平均開出間距","至今未開出間距","下期可能開出機率"
"號碼1",22,5,1,0.0404276819945128
"號碼2",11,5,3,0.265025915297362
"號碼3",24,5,2,0.124652019483081
"號碼4",23,7,10,0.901479205889087
"號碼5",19,5,8,0.931906365278152
"號碼6",18,7,4,0.172991607882071
"號碼7",24,7,1,0.00729505572443613
"號碼8",20,5,1,0.0404276819945128
"號碼9",20,5,2,0.124652019483081
"號碼10",20,6,16,0.999825122564587
"號碼11",17,6,1,0.0173512652366645
"號碼12",30,8,1,0.00301916365112261
"號碼13",12,6,7,0.743979760453717
"號碼14",14,5,13,0.99930201002086
"號碼15",18,5,8,0.931906365278152
"號碼16",15,5,0,0.00673794699908547
"號碼17",12,6,3,0.151203882776648
"號碼18",20,5,3,0.265025915297362
"號碼19",27,7,2,0.0296361638805218
"號碼20",17,5,0,0.00673794699908547
"號碼21",24,6,7,0.743979760453717
"號碼22",20,5,2,0.124652019483081
"號碼23",25,5,0,0.00673794699908547
"號碼24",15,6,0,0.00247875217666636
"號碼25",20,5,1,0.0404276819945128
"號碼26",24,7,4,0.172991607882071
"號碼27",15,5,1,0.0404276819945128
"號碼28",18,6,0,0.00247875217666636
"號碼29",14,4,1,0.0915781944436709
"號碼30",26,5,5,0.615960654833063
"號碼31",13,5,0,0.00673794699908547
"號碼32",18,5,3,0.265025915297362
"號碼33",14,5,0,0.00673794699908547
"號碼34",20,6,15,0.999490901728782
"號碼35",13,5,8,0.931906365278152
"號碼36",18,7,2,0.0296361638805218
"號碼37",25,4,4,0.628836935179873
"號碼38",20,5,3,0.265025915297362
"號碼39",16,6,5,0.445679641364611
"號碼40",21,7,9,0.830495937238674
